flow_description,flow_type,period,fuel,petajoules
Primary indigenous supply,primary_supply,2021-22,black_coal,11215.668
  plus all imports,imports,2021-22,black_coal,2.636
  less all exports,exports,2021-22,black_coal,10173.475
  less stock changes,stock_changes,2021-22,black_coal,-202.904
  less discrepancies,statistical_discrepancies,2021-22,black_coal,66.587
  Coke ovens,conversion,2021-22,black_coal,98.753
  Electricity generation,conversion,2021-22,black_coal,985.685
  Other conversion c,conversion,2021-22,black_coal,0.982
  Mining e,sector_mining,2021-22,black_coal,np
"  Food, beverages, textiles",sector_industry,2021-22,black_coal,6.308
"  Wood, paper And printing",sector_industry,2021-22,black_coal,2.984
  Chemical,sector_industry,2021-22,black_coal,np
  Iron and steel,sector_industry,2021-22,black_coal,np
  Non-ferrous metals,sector_industry,2021-22,black_coal,57.13
  Other industry,sector_industry,2021-22,black_coal,17.781
  Rail transport,sector_transport,2021-22,black_coal,0
  Commercial and services,sector_commercial,2021-22,black_coal,np
  Residential,sector_residential,2021-22,black_coal,0
Primary indigenous supply,primary_supply,2021-22,brown_coal,415.677
  less discrepancies,statistical_discrepancies,2021-22,brown_coal,5.738
  Electricity generation,conversion,2021-22,brown_coal,409.939
"  Food, beverages, textiles",sector_industry,2021-22,brown_coal,np
  Other industry,sector_industry,2021-22,brown_coal,np
  Water and waste f,sector_services,2021-22,brown_coal,np
  plus all imports,imports,2021-22,met_coke,12.687
  less all exports,exports,2021-22,met_coke,22.118
  less discrepancies,statistical_discrepancies,2021-22,met_coke,-4.292
  Coke ovens,conversion,2021-22,met_coke,-62.114
  Other conversion c,conversion,2021-22,met_coke,49.213
  Mining e,sector_mining,2021-22,met_coke,1.148
  Chemical,sector_industry,2021-22,met_coke,0.176
  Iron and steel,sector_industry,2021-22,met_coke,3.45
  Non-ferrous metals,sector_industry,2021-22,met_coke,2.889
  Other industry,sector_industry,2021-22,met_coke,0.1
  plus all imports,imports,2021-22,coal_byproducts_a,0
  less discrepancies,statistical_discrepancies,2021-22,coal_byproducts_a,-0.809
  Coke ovens,conversion,2021-22,coal_byproducts_a,-5.491
  Petroleum refining,conversion,2021-22,coal_byproducts_a,0
  Gas manufacturing,conversion,2021-22,coal_byproducts_a,0
  Electricity generation,conversion,2021-22,coal_byproducts_a,0.18
  Other conversion c,conversion,2021-22,coal_byproducts_a,5.288
  Fuel use in conversion,conversion_losses,2021-22,coal_byproducts_a,0
  Mining e,sector_mining,2021-22,coal_byproducts_a,np
"  Food, beverages, textiles",sector_industry,2021-22,coal_byproducts_a,0.01
"  Wood, paper And printing",sector_industry,2021-22,coal_byproducts_a,0.089
  Chemical,sector_industry,2021-22,coal_byproducts_a,np
  Iron and steel,sector_industry,2021-22,coal_byproducts_a,np
  Non-ferrous metals,sector_industry,2021-22,coal_byproducts_a,0.271
  Other industry,sector_industry,2021-22,coal_byproducts_a,0.368
  Water and waste f,sector_services,2021-22,coal_byproducts_a,0
  Construction,sector_services,2021-22,coal_byproducts_a,0
  Commercial and services,sector_commercial,2021-22,coal_byproducts_a,np
  Residential,sector_residential,2021-22,coal_byproducts_a,0
Primary indigenous supply,primary_supply,2021-22,natural_gas,6149.479
  plus all imports,imports,2021-22,natural_gas,152.051
  less all exports,exports,2021-22,natural_gas,4636.772
  less stock changes,stock_changes,2021-22,natural_gas,-27.835
  less discrepancies,statistical_discrepancies,2021-22,natural_gas,133.249
  LNG plants,conversion,2021-22,natural_gas,349.875
  Petroleum refining,conversion,2021-22,natural_gas,4.023
  Gas manufacturing,conversion,2021-22,natural_gas,0.758
  Electricity generation,conversion,2021-22,natural_gas,514.897
  Other conversion c,conversion,2021-22,natural_gas,74.097
  Fuel use in conversion,conversion_losses,2021-22,natural_gas,24.492
  Agriculture,sector_agriculture,2021-22,natural_gas,1.225
  Mining e,sector_mining,2021-22,natural_gas,66.679
"  Food, beverages, textiles",sector_industry,2021-22,natural_gas,37.833
"  Wood, paper And printing",sector_industry,2021-22,natural_gas,16.329
  Chemical,sector_industry,2021-22,natural_gas,61.793
  Iron and steel,sector_industry,2021-22,natural_gas,10.384
  Non-ferrous metals,sector_industry,2021-22,natural_gas,130.582
  Other industry,sector_industry,2021-22,natural_gas,49.408
  Water and waste f,sector_services,2021-22,natural_gas,1.184
  Construction,sector_services,2021-22,natural_gas,2.684
  Road transport,sector_transport,2021-22,natural_gas,0.893
  Rail transport,sector_transport,2021-22,natural_gas,0.047
"  Other transport, services and storage",sector_transport,2021-22,natural_gas,0.929
  Commercial and services,sector_commercial,2021-22,natural_gas,46.869
  Residential,sector_residential,2021-22,natural_gas,164.363
Primary indigenous supply,primary_supply,2021-22,crude_oil_and_orf,722.958
  plus all imports,imports,2021-22,crude_oil_and_orf,386.593
  less all exports,exports,2021-22,crude_oil_and_orf,622.885
  less stock changes,stock_changes,2021-22,crude_oil_and_orf,-3.502
  less discrepancies,statistical_discrepancies,2021-22,crude_oil_and_orf,-110.234
  Petroleum refining,conversion,2021-22,crude_oil_and_orf,599.233
  Gas manufacturing,conversion,2021-22,crude_oil_and_orf,0
  Electricity generation,conversion,2021-22,crude_oil_and_orf,0.479
  Mining e,sector_mining,2021-22,crude_oil_and_orf,0.689
Primary indigenous supply,primary_supply,2021-22,lpg,168.283
  plus all imports,imports,2021-22,lpg,20.524
  less all exports,exports,2021-22,lpg,149.16
  less stock changes,stock_changes,2021-22,lpg,-1.895
  less discrepancies,statistical_discrepancies,2021-22,lpg,5.784
  LNG plants,conversion,2021-22,lpg,0.019
  Petroleum refining,conversion,2021-22,lpg,-8.571
  Gas manufacturing,conversion,2021-22,lpg,0
  Electricity generation,conversion,2021-22,lpg,0.011
  Other conversion c,conversion,2021-22,lpg,0.153
  Fuel use in conversion,conversion_losses,2021-22,lpg,0.001
  Agriculture,sector_agriculture,2021-22,lpg,2.708
  Mining e,sector_mining,2021-22,lpg,1.9
"  Food, beverages, textiles",sector_industry,2021-22,lpg,1.224
"  Wood, paper And printing",sector_industry,2021-22,lpg,0.158
  Chemical,sector_industry,2021-22,lpg,5.998
  Iron and steel,sector_industry,2021-22,lpg,0.024
  Non-ferrous metals,sector_industry,2021-22,lpg,0.04
  Other industry,sector_industry,2021-22,lpg,4.961
  Water and waste f,sector_services,2021-22,lpg,0.013
  Construction,sector_services,2021-22,lpg,0.214
  Road transport,sector_transport,2021-22,lpg,10.494
  Rail transport,sector_transport,2021-22,lpg,0.043
"  Other transport, services and storage",sector_transport,2021-22,lpg,0.196
  Commercial and services,sector_commercial,2021-22,lpg,0.659
  Residential,sector_residential,2021-22,lpg,15.511
  plus all imports,imports,2021-22,refined_products,1554.559
  less all exports,exports,2021-22,refined_products,18.821
  less stock changes,stock_changes,2021-22,refined_products,0.607
  less discrepancies,statistical_discrepancies,2021-22,refined_products,64.399
  LNG plants,conversion,2021-22,refined_products,0.567
  Petroleum refining,conversion,2021-22,refined_products,-582.124
  Gas manufacturing,conversion,2021-22,refined_products,0
  Electricity generation,conversion,2021-22,refined_products,44.678
  Other conversion c,conversion,2021-22,refined_products,-2.204
  Fuel use in conversion,conversion_losses,2021-22,refined_products,47.242
  Agriculture,sector_agriculture,2021-22,refined_products,104.304
  Mining e,sector_mining,2021-22,refined_products,280.227
"  Food, beverages, textiles",sector_industry,2021-22,refined_products,4.856
"  Wood, paper And printing",sector_industry,2021-22,refined_products,2.54
  Chemical,sector_industry,2021-22,refined_products,41.646
  Iron and steel,sector_industry,2021-22,refined_products,1.921
  Non-ferrous metals,sector_industry,2021-22,refined_products,30.826
  Other industry,sector_industry,2021-22,refined_products,4.041
  Water and waste f,sector_services,2021-22,refined_products,1.343
  Construction,sector_services,2021-22,refined_products,26.825
  Road transport,sector_transport,2021-22,refined_products,1100.457
  Rail transport,sector_transport,2021-22,refined_products,51.659
  Air transport g,sector_transport,2021-22,refined_products,168.044
  Water transport h,sector_transport,2021-22,refined_products,58.012
"  Other transport, services and storage",sector_transport,2021-22,refined_products,10.122
  Commercial and services,sector_commercial,2021-22,refined_products,30.231
  Residential,sector_residential,2021-22,refined_products,0
"  Lubes, bitumen, solvents",sector_other,2021-22,refined_products,45.518
Primary indigenous supply,primary_supply,2021-22,liquidgas_biofuels,24.599
  less discrepancies,statistical_discrepancies,2021-22,liquidgas_biofuels,0
  Petroleum refining,conversion,2021-22,liquidgas_biofuels,0
  Gas manufacturing,conversion,2021-22,liquidgas_biofuels,0
  Electricity generation,conversion,2021-22,liquidgas_biofuels,16.333
  Fuel use in conversion,conversion_losses,2021-22,liquidgas_biofuels,0
  Mining e,sector_mining,2021-22,liquidgas_biofuels,np
"  Food, beverages, textiles",sector_industry,2021-22,liquidgas_biofuels,1.028
"  Wood, paper And printing",sector_industry,2021-22,liquidgas_biofuels,0.707
  Chemical,sector_industry,2021-22,liquidgas_biofuels,0.188
  Other industry,sector_industry,2021-22,liquidgas_biofuels,0.372
  Water and waste f,sector_services,2021-22,liquidgas_biofuels,0.87
  Construction,sector_services,2021-22,liquidgas_biofuels,0.143
  Road transport,sector_transport,2021-22,liquidgas_biofuels,4.955
  Rail transport,sector_transport,2021-22,liquidgas_biofuels,0
"  Other transport, services and storage",sector_transport,2021-22,liquidgas_biofuels,0
  Commercial and services,sector_commercial,2021-22,liquidgas_biofuels,np
Primary indigenous supply,primary_supply,2021-22,biomass__wood,90.879
  less discrepancies,statistical_discrepancies,2021-22,biomass__wood,0
  Electricity generation,conversion,2021-22,biomass__wood,8.357
  Other conversion c,conversion,2021-22,biomass__wood,0.153
  Mining e,sector_mining,2021-22,biomass__wood,0.012
"  Food, beverages, textiles",sector_industry,2021-22,biomass__wood,2.178
"  Wood, paper And printing",sector_industry,2021-22,biomass__wood,26.772
  Chemical,sector_industry,2021-22,biomass__wood,0.394
  Non-ferrous metals,sector_industry,2021-22,biomass__wood,1.729
  Other industry,sector_industry,2021-22,biomass__wood,3.857
  Water and waste f,sector_services,2021-22,biomass__wood,0
  Commercial and services,sector_commercial,2021-22,biomass__wood,0.184
  Residential,sector_residential,2021-22,biomass__wood,47.243
Primary indigenous supply,primary_supply,2021-22,biomass__bagasse,84.442
  less discrepancies,statistical_discrepancies,2021-22,biomass__bagasse,0
  Electricity generation,conversion,2021-22,biomass__bagasse,12.023
