year,fuel,energy_[pj],category,state
1960,black_coal [pj],495.3,consumption_of_fuels,Australia
1961,black_coal [pj],492.3,consumption_of_fuels,Australia
1962,black_coal [pj],494.3,consumption_of_fuels,Australia
1963,black_coal [pj],517.0,consumption_of_fuels,Australia
1964,black_coal [pj],531.5,consumption_of_fuels,Australia
1965,black_coal [pj],545.9,consumption_of_fuels,Australia
1966,black_coal [pj],554.3,consumption_of_fuels,Australia
1967,black_coal [pj],572.0,consumption_of_fuels,Australia
1968,black_coal [pj],592.5,consumption_of_fuels,Australia
1969,black_coal [pj],612.5,consumption_of_fuels,Australia
1970,black_coal [pj],607.2,consumption_of_fuels,Australia
1971,black_coal [pj],609.2,consumption_of_fuels,Australia
1972,black_coal [pj],660.5,consumption_of_fuels,Australia
1973,black_coal [pj],662.9,consumption_of_fuels,Australia
1974,black_coal [pj],717.6,consumption_of_fuels,Australia
1975,black_coal [pj],702.2,consumption_of_fuels,Australia
1976,black_coal [pj],749.7,consumption_of_fuels,Australia
1977,black_coal [pj],776.8,consumption_of_fuels,Australia
1978,black_coal [pj],792.7,consumption_of_fuels,Australia
1979,black_coal [pj],846.5,consumption_of_fuels,Australia
1980,black_coal [pj],887.6,consumption_of_fuels,Australia
1981,black_coal [pj],876.7,consumption_of_fuels,Australia
1982,black_coal [pj],869.6,consumption_of_fuels,Australia
1983,black_coal [pj],914.4,consumption_of_fuels,Australia
1984,black_coal [pj],969.2,consumption_of_fuels,Australia
1985,black_coal [pj],980.9,consumption_of_fuels,Australia
1986,black_coal [pj],1008.1,consumption_of_fuels,Australia
1987,black_coal [pj],1035.6,consumption_of_fuels,Australia
1988,black_coal [pj],1107.3,consumption_of_fuels,Australia
1989,black_coal [pj],1132.1,consumption_of_fuels,Australia
1990,black_coal [pj],1141.3,consumption_of_fuels,Australia
1991,black_coal [pj],1168.2,consumption_of_fuels,Australia
1992,black_coal [pj],1195.6,consumption_of_fuels,Australia
1993,black_coal [pj],1213.3,consumption_of_fuels,Australia
1994,black_coal [pj],1242.8,consumption_of_fuels,Australia
1995,black_coal [pj],1283.1,consumption_of_fuels,Australia
1996,black_coal [pj],1309.0,consumption_of_fuels,Australia
1997,black_coal [pj],1344.8,consumption_of_fuels,Australia
1998,black_coal [pj],1362.4,consumption_of_fuels,Australia
1999,black_coal [pj],1387.5,consumption_of_fuels,Australia
2000,black_coal [pj],1418.6,consumption_of_fuels,Australia
2001,black_coal [pj],1457.1,consumption_of_fuels,Australia
2002,black_coal [pj],1427.989,consumption_of_fuels,Australia
2003,black_coal [pj],1510.228,consumption_of_fuels,Australia
2004,black_coal [pj],1554.413,consumption_of_fuels,Australia
2005,black_coal [pj],1576.359,consumption_of_fuels,Australia
2006,black_coal [pj],1601.86,consumption_of_fuels,Australia
2007,black_coal [pj],1581.164,consumption_of_fuels,Australia
2008,black_coal [pj],1600.761,consumption_of_fuels,Australia
2009,black_coal [pj],1488.305,consumption_of_fuels,Australia
2010,black_coal [pj],1402.69,consumption_of_fuels,Australia
2011,black_coal [pj],1352.507,consumption_of_fuels,Australia
2012,black_coal [pj],1311.978,consumption_of_fuels,Australia
2013,black_coal [pj],1240.112,consumption_of_fuels,Australia
2014,black_coal [pj],1251.803,consumption_of_fuels,Australia
2015,black_coal [pj],1325.748,consumption_of_fuels,Australia
2016,black_coal [pj],1365.247,consumption_of_fuels,Australia
2017,black_coal [pj],1389.038,consumption_of_fuels,Australia
2018,black_coal [pj],1363.078,consumption_of_fuels,Australia
2019,black_coal [pj],1294.182,consumption_of_fuels,Australia
2020,black_coal [pj],1243.701,consumption_of_fuels,Australia
2021,black_coal [pj],1181.146,consumption_of_fuels,Australia
2022,black_coal [pj],1129.115,consumption_of_fuels,Australia
,black_coal [pj],,consumption_of_fuels,Australia
,black_coal [pj],,consumption_of_fuels,Australia
,black_coal [pj],,consumption_of_fuels,Australia
,black_coal [pj],,consumption_of_fuels,Australia
,black_coal [pj],,consumption_of_fuels,Australia
,black_coal [pj],,consumption_of_fuels,Australia
,black_coal [pj],,consumption_of_fuels,Australia
1960,brown_coal [pj],144.4,consumption_of_fuels,Australia
1961,brown_coal [pj],152.8,consumption_of_fuels,Australia
1962,brown_coal [pj],162.2,consumption_of_fuels,Australia
1963,brown_coal [pj],170.9,consumption_of_fuels,Australia
1964,brown_coal [pj],178.4,consumption_of_fuels,Australia
1965,brown_coal [pj],198.8,consumption_of_fuels,Australia
1966,brown_coal [pj],208.6,consumption_of_fuels,Australia
1967,brown_coal [pj],214.9,consumption_of_fuels,Australia
1968,brown_coal [pj],216.8,consumption_of_fuels,Australia
1969,brown_coal [pj],229.0,consumption_of_fuels,Australia
1970,brown_coal [pj],219.5,consumption_of_fuels,Australia
1971,brown_coal [pj],238.6,consumption_of_fuels,Australia
1972,brown_coal [pj],240.8,consumption_of_fuels,Australia
1973,brown_coal [pj],262.6,consumption_of_fuels,Australia
1974,brown_coal [pj],270.8,consumption_of_fuels,Australia
1975,brown_coal [pj],286.8,consumption_of_fuels,Australia
1976,brown_coal [pj],304.0,consumption_of_fuels,Australia
1977,brown_coal [pj],297.4,consumption_of_fuels,Australia
1978,brown_coal [pj],312.9,consumption_of_fuels,Australia
1979,brown_coal [pj],321.0,consumption_of_fuels,Australia
1980,brown_coal [pj],312.0,consumption_of_fuels,Australia
1981,brown_coal [pj],357.7,consumption_of_fuels,Australia
1982,brown_coal [pj],329.4,consumption_of_fuels,Australia
1983,brown_coal [pj],316.5,consumption_of_fuels,Australia
1984,brown_coal [pj],369.2,consumption_of_fuels,Australia
1985,brown_coal [pj],350.1,consumption_of_fuels,Australia
1986,brown_coal [pj],405.0,consumption_of_fuels,Australia
1987,brown_coal [pj],424.9,consumption_of_fuels,Australia
