year,industry,energy,unit,state
1974,agriculture_pj,39.4,38.7,Australia
1975,agriculture_pj,39.9,38.7,Australia
1976,agriculture_pj,41.2,38.7,Australia
1977,agriculture_pj,43.3,38.7,Australia
1978,agriculture_pj,44.9,38.7,Australia
1979,agriculture_pj,47.1,38.7,Australia
1980,agriculture_pj,48.8,38.7,Australia
1981,agriculture_pj,53.4,38.7,Australia
1982,agriculture_pj,49.7,38.7,Australia
1983,agriculture_pj,55.7,38.7,Australia
1984,agriculture_pj,54.7,38.7,Australia
1985,agriculture_pj,54,38.7,Australia
1986,agriculture_pj,56.4,38.7,Australia
1987,agriculture_pj,55.4,38.7,Australia
1988,agriculture_pj,58.5,38.7,Australia
1989,agriculture_pj,55.1,38.7,Australia
1990,agriculture_pj,55.8,38.7,Australia
1991,agriculture_pj,57,38.7,Australia
1992,agriculture_pj,59.1,38.7,Australia
1993,agriculture_pj,60.9,38.7,Australia
1994,agriculture_pj,63,38.7,Australia
1995,agriculture_pj,63.2,38.7,Australia
1996,agriculture_pj,65.7,38.7,Australia
1997,agriculture_pj,67.7,38.7,Australia
1998,agriculture_pj,69.4,38.7,Australia
1999,agriculture_pj,71.5,38.7,Australia
2000,agriculture_pj,85.5,38.7,Australia
2001,agriculture_pj,86.2,38.7,Australia
2002,agriculture_pj,97.744,38.7,Australia
2003,agriculture_pj,97.635,38.7,Australia
2004,agriculture_pj,101.452,38.7,Australia
2005,agriculture_pj,96.902,38.7,Australia
2006,agriculture_pj,94.153,38.7,Australia
2007,agriculture_pj,94.972,38.7,Australia
2008,agriculture_pj,93.857,38.7,Australia
2009,agriculture_pj,96.107,38.7,Australia
2010,agriculture_pj,96.178,38.7,Australia
2011,agriculture_pj,98.189,38.7,Australia
2012,agriculture_pj,99.321,38.7,Australia
2013,agriculture_pj,99.628,38.7,Australia
2014,agriculture_pj,104.54,38.7,Australia
2015,agriculture_pj,109.756,38.7,Australia
2016,agriculture_pj,116.296,38.7,Australia
2017,agriculture_pj,117.57,38.7,Australia
2018,agriculture_pj,98.842,38.7,Australia
2019,agriculture_pj,87.993,38.7,Australia
2020,agriculture_pj,118.707,38.7,Australia
2021,agriculture_pj,114.588,38.7,Australia
2022,agriculture_pj,105.859,38.7,Australia
1974,mining_pj,64.8,59.4,Australia
1975,mining_pj,67.3,59.4,Australia
1976,mining_pj,73.8,59.4,Australia
1977,mining_pj,73,59.4,Australia
1978,mining_pj,76.5,59.4,Australia
1979,mining_pj,80.8,59.4,Australia
1980,mining_pj,71.2,59.4,Australia
1981,mining_pj,71.3,59.4,Australia
