year,sector,fuel,energy_PJ,state
2002,Agriculture,Coal,,Australia
2002,Agriculture,Gas,0.098,Australia
2002,Agriculture,Oil,87.726,Australia
2002,Agriculture,Electricity,9.92,Australia
2002,Agriculture,Renewables,,Australia
2002,Mining,Coal,0.54,Australia
2002,Mining,Gas,62.955,Australia
2002,Mining,Oil,98.979,Australia
2002,Mining,Electricity,48.16,Australia
2002,Mining,Renewables,0.137,Australia
2002,"Food, beverage, textiles",Coal,18.904,Australia
2002,"Food, beverage, textiles",Gas,34.101,Australia
2002,"Food, beverage, textiles",Oil,3.223,Australia
2002,"Food, beverage, textiles",Electricity,22.733,Australia
2002,"Food, beverage, textiles",Renewables,33.843,Australia
2002,"Wood, paper and printing",Coal,5.519,Australia
2002,"Wood, paper and printing",Gas,18.768,Australia
2002,"Wood, paper and printing",Oil,0.557,Australia
2002,"Wood, paper and printing",Electricity,15.48,Australia
2002,"Wood, paper and printing",Renewables,23.487,Australia
2002,Chemical,Coal,7.001,Australia
2002,Chemical,Gas,83.52,Australia
2002,Chemical,Oil,40.378,Australia
2002,Chemical,Electricity,16.976,Australia
2002,Chemical,Renewables,0.451,Australia
2002,Iron and steel,Coal,32.365,Australia
2002,Iron and steel,Gas,18.47,Australia
2002,Iron and steel,Oil,0.69,Australia
2002,Iron and steel,Electricity,11.614,Australia
2002,Iron and steel,Renewables,,Australia
2002,Non-ferrous metals,Coal,50.811,Australia
2002,Non-ferrous metals,Gas,121.341,Australia
2002,Non-ferrous metals,Oil,56.951,Australia
2002,Non-ferrous metals,Electricity,127.5,Australia
2002,Non-ferrous metals,Renewables,2.252,Australia
2002,Other industry,Coal,31.199,Australia
2002,Other industry,Gas,66.438,Australia
2002,Other industry,Oil,9.03,Australia
2002,Other industry,Electricity,34.043,Australia
2002,Other industry,Renewables,3.437,Australia
2002,Total Manufacturing,Coal,145.8,Australia
2002,Total Manufacturing,Gas,342.638,Australia
2002,Total Manufacturing,Oil,110.828,Australia
2002,Total Manufacturing,Electricity,228.347,Australia
2002,Total Manufacturing,Renewables,63.47,Australia
2002,Water and waste b,Coal,0,Australia
2002,Water and waste b,Gas,0.523,Australia
2002,Water and waste b,Oil,0.477,Australia
2002,Water and waste b,Electricity,8.579,Australia
2002,Water and waste b,Renewables,0.172,Australia
2002,Construction,Coal,,Australia
2002,Construction,Gas,2.526,Australia
2002,Construction,Oil,24.879,Australia
2002,Construction,Electricity,0.301,Australia
2002,Construction,Renewables,0,Australia
2002,Road transport,Coal,,Australia
2002,Road transport,Gas,1.181,Australia
2002,Road transport,Oil,985.749,Australia
2002,Road transport,Electricity,0,Australia
2002,Road transport,Renewables,0,Australia
2002,Rail transport,Coal,0,Australia
2002,Rail transport,Gas,0.02,Australia
2002,Rail transport,Oil,23.427,Australia
2002,Rail transport,Electricity,8.136,Australia
2002,Rail transport,Renewables,0,Australia
2002,Air transport c,Coal,,Australia
2002,Air transport c,Gas,,Australia
2002,Air transport c,Oil,159.308,Australia
2002,Air transport c,Electricity,,Australia
2002,Air transport c,Renewables,,Australia
2002,Water transport d,Coal,5,Australia
2002,Water transport d,Gas,0.055,Australia
2002,Water transport d,Oil,59.045,Australia
2002,Water transport d,Electricity,,Australia
2002,Water transport d,Renewables,,Australia
2002,Other transport,Coal,0,Australia
2002,Other transport,Gas,1.535,Australia
2002,Other transport,Oil,4.509,Australia
2002,Other transport,Electricity,4.123,Australia
2002,Other transport,Renewables,0,Australia
2002,Total Transport,Coal,5,Australia
2002,Total Transport,Gas,2.792,Australia
2002,Total Transport,Oil,1232.039,Australia
2002,Total Transport,Electricity,12.26,Australia
2002,Total Transport,Renewables,0,Australia
2002,Commercial and services,Coal,4.148,Australia
2002,Commercial and services,Gas,43.484,Australia
2002,Commercial and services,Oil,19.421,Australia
2002,Commercial and services,Electricity,183.081,Australia
2002,Commercial and services,Renewables,0.588,Australia
2002,Residential,Coal,1.03,Australia
2002,Residential,Gas,124.943,Australia
2002,Residential,Oil,15.745,Australia
2002,Residential,Electricity,194.042,Australia
2002,Residential,Renewables,75.844,Australia
