fuel_name,year,generation,unit,state,type
Black coal,1989,87573.0,gwh,Australia,non-renewable
Brown coal,1989,33594.0,gwh,Australia,non-renewable
Natural gas,1989,14359.0,gwh,Australia,non-renewable
Oil products,1989,3552.0,gwh,Australia,non-renewable
Other a,1989,,gwh,Australia,non-renewable
,1989,,gwh,Australia,non-renewable
"Bagasse, wood",1989,750.0,gwh,Australia,renewable
Biogas,1989,,gwh,Australia,renewable
Wind,1989,,gwh,Australia,renewable
Hydro,1989,14880.0,gwh,Australia,renewable
Large-scale solar PV,1989,,gwh,Australia,renewable
Small-scale solar PV,1989,,gwh,Australia,renewable
Geothermal,1989,,gwh,Australia,renewable
,1989,,gwh,Australia,renewable
,1989,,gwh,Australia,renewable
Black coal,1990,89511.0,gwh,Australia,non-renewable
Brown coal,1990,36048.0,gwh,Australia,non-renewable
Natural gas,1990,10772.0,gwh,Australia,non-renewable
Oil products,1990,3396.0,gwh,Australia,non-renewable
Other a,1990,,gwh,Australia,non-renewable
,1990,,gwh,Australia,non-renewable
"Bagasse, wood",1990,769.0,gwh,Australia,renewable
Biogas,1990,,gwh,Australia,renewable
Wind,1990,,gwh,Australia,renewable
Hydro,1990,16103.0,gwh,Australia,renewable
Large-scale solar PV,1990,,gwh,Australia,renewable
Small-scale solar PV,1990,,gwh,Australia,renewable
Geothermal,1990,,gwh,Australia,renewable
,1990,,gwh,Australia,renewable
,1990,,gwh,Australia,renewable
Black coal,1991,94325.1,gwh,Australia,non-renewable
Brown coal,1991,34559.0,gwh,Australia,non-renewable
Natural gas,1991,11633.0,gwh,Australia,non-renewable
Oil products,1991,2362.0,gwh,Australia,non-renewable
Other a,1991,,gwh,Australia,non-renewable
,1991,,gwh,Australia,non-renewable
"Bagasse, wood",1991,670.0,gwh,Australia,renewable
Biogas,1991,,gwh,Australia,renewable
Wind,1991,,gwh,Australia,renewable
Hydro,1991,15768.0,gwh,Australia,renewable
Large-scale solar PV,1991,,gwh,Australia,renewable
Small-scale solar PV,1991,10.9,gwh,Australia,renewable
Geothermal,1991,,gwh,Australia,renewable
,1991,,gwh,Australia,renewable
,1991,,gwh,Australia,renewable
Black coal,1992,97872.7,gwh,Australia,non-renewable
Brown coal,1992,33248.0,gwh,Australia,non-renewable
Natural gas,1992,12295.0,gwh,Australia,non-renewable
Oil products,1992,2421.0,gwh,Australia,non-renewable
Other a,1992,,gwh,Australia,non-renewable
,1992,,gwh,Australia,non-renewable
"Bagasse, wood",1992,670.0,gwh,Australia,renewable
Biogas,1992,,gwh,Australia,renewable
Wind,1992,,gwh,Australia,renewable
Hydro,1992,16953.0,gwh,Australia,renewable
Large-scale solar PV,1992,,gwh,Australia,renewable
Small-scale solar PV,1992,13.3,gwh,Australia,renewable
Geothermal,1992,,gwh,Australia,renewable
,1992,,gwh,Australia,renewable
,1992,,gwh,Australia,renewable
Black coal,1993,100544.1,gwh,Australia,non-renewable
Brown coal,1993,34890.0,gwh,Australia,non-renewable
Natural gas,1993,12199.0,gwh,Australia,non-renewable
Oil products,1993,2320.0,gwh,Australia,non-renewable
Other a,1993,,gwh,Australia,non-renewable
,1993,,gwh,Australia,non-renewable
"Bagasse, wood",1993,670.0,gwh,Australia,renewable
Biogas,1993,,gwh,Australia,renewable
Wind,1993,4.0,gwh,Australia,renewable
Hydro,1993,16649.0,gwh,Australia,renewable
Large-scale solar PV,1993,,gwh,Australia,renewable
Small-scale solar PV,1993,15.9,gwh,Australia,renewable
Geothermal,1993,,gwh,Australia,renewable
,1993,,gwh,Australia,renewable
,1993,,gwh,Australia,renewable
Black coal,1994,102522.1,gwh,Australia,non-renewable
Brown coal,1994,35832.0,gwh,Australia,non-renewable
Natural gas,1994,14913.0,gwh,Australia,non-renewable
Oil products,1994,2738.0,gwh,Australia,non-renewable
Other a,1994,,gwh,Australia,non-renewable
,1994,,gwh,Australia,non-renewable
"Bagasse, wood",1994,670.0,gwh,Australia,renewable
Biogas,1994,53.0,gwh,Australia,renewable
Wind,1994,7.0,gwh,Australia,renewable
Hydro,1994,16239.0,gwh,Australia,renewable
Large-scale solar PV,1994,,gwh,Australia,renewable
Small-scale solar PV,1994,18.9,gwh,Australia,renewable
Geothermal,1994,,gwh,Australia,renewable
,1994,,gwh,Australia,renewable
,1994,,gwh,Australia,renewable
Black coal,1995,106089.6,gwh,Australia,non-renewable
Brown coal,1995,39427.0,gwh,Australia,non-renewable
Natural gas,1995,12445.0,gwh,Australia,non-renewable
Oil products,1995,2805.0,gwh,Australia,non-renewable
Other a,1995,,gwh,Australia,non-renewable
,1995,,gwh,Australia,non-renewable
"Bagasse, wood",1995,670.0,gwh,Australia,renewable
Biogas,1995,258.0,gwh,Australia,renewable
Wind,1995,7.0,gwh,Australia,renewable
Hydro,1995,15731.0,gwh,Australia,renewable
Large-scale solar PV,1995,,gwh,Australia,renewable
Small-scale solar PV,1995,23.4,gwh,Australia,renewable
Geothermal,1995,,gwh,Australia,renewable
,1995,,gwh,Australia,renewable
,1995,,gwh,Australia,renewable
Black coal,1996,109452.2,gwh,Australia,non-renewable
Brown coal,1996,41893.0,gwh,Australia,non-renewable
Natural gas,1996,11426.0,gwh,Australia,non-renewable
Oil products,1996,2175.0,gwh,Australia,non-renewable
Other a,1996,,gwh,Australia,non-renewable
,1996,,gwh,Australia,non-renewable
"Bagasse, wood",1996,670.0,gwh,Australia,renewable
Biogas,1996,295.0,gwh,Australia,renewable
Wind,1996,7.0,gwh,Australia,renewable
Hydro,1996,16852.0,gwh,Australia,renewable
Large-scale solar PV,1996,,gwh,Australia,renewable
Small-scale solar PV,1996,27.8,gwh,Australia,renewable
Geothermal,1996,,gwh,Australia,renewable
,1996,,gwh,Australia,renewable
,1996,,gwh,Australia,renewable
Black coal,1997,116969.5,gwh,Australia,non-renewable
Brown coal,1997,46633.0,gwh,Australia,non-renewable
Natural gas,1997,12934.0,gwh,Australia,non-renewable
Oil products,1997,1821.0,gwh,Australia,non-renewable
Other a,1997,,gwh,Australia,non-renewable
,1997,,gwh,Australia,non-renewable
"Bagasse, wood",1997,670.0,gwh,Australia,renewable
Biogas,1997,359.0,gwh,Australia,renewable
Wind,1997,8.0,gwh,Australia,renewable
Hydro,1997,15733.0,gwh,Australia,renewable
Large-scale solar PV,1997,,gwh,Australia,renewable
Small-scale solar PV,1997,33.5,gwh,Australia,renewable
Geothermal,1997,,gwh,Australia,renewable
,1997,,gwh,Australia,renewable
,1997,,gwh,Australia,renewable
Black coal,1998,118586.3,gwh,Australia,non-renewable
Brown coal,1998,49703.0,gwh,Australia,non-renewable
Natural gas,1998,16001.0,gwh,Australia,non-renewable
Oil products,1998,1729.0,gwh,Australia,non-renewable
Other a,1998,,gwh,Australia,non-renewable
,1998,,gwh,Australia,non-renewable
"Bagasse, wood",1998,674.0,gwh,Australia,renewable
Biogas,1998,459.0,gwh,Australia,renewable
Wind,1998,28.0,gwh,Australia,renewable
Hydro,1998,16563.0,gwh,Australia,renewable
Large-scale solar PV,1998,,gwh,Australia,renewable
Small-scale solar PV,1998,37.7,gwh,Australia,renewable
Geothermal,1998,,gwh,Australia,renewable
,1998,,gwh,Australia,renewable
,1998,,gwh,Australia,renewable
Black coal,1999,123833.5,gwh,Australia,non-renewable
Brown coal,1999,50200.0,gwh,Australia,non-renewable
Natural gas,1999,16245.0,gwh,Australia,non-renewable
Oil products,1999,1784.0,gwh,Australia,non-renewable
Other a,1999,,gwh,Australia,non-renewable
,1999,,gwh,Australia,non-renewable
"Bagasse, wood",1999,685.0,gwh,Australia,renewable
Biogas,1999,449.0,gwh,Australia,renewable
Wind,1999,58.0,gwh,Australia,renewable
Hydro,1999,16720.0,gwh,Australia,renewable
Large-scale solar PV,1999,,gwh,Australia,renewable
Small-scale solar PV,1999,43.5,gwh,Australia,renewable
Geothermal,1999,,gwh,Australia,renewable
,1999,,gwh,Australia,renewable
,1999,,gwh,Australia,renewable
Black coal,2000,134264.0,gwh,Australia,non-renewable
Brown coal,2000,52223.0,gwh,Australia,non-renewable
Natural gas,2000,17271.0,gwh,Australia,non-renewable
Oil products,2000,2044.0,gwh,Australia,non-renewable
Other a,2000,,gwh,Australia,non-renewable
,2000,,gwh,Australia,non-renewable
"Bagasse, wood",2000,633.0,gwh,Australia,renewable
Biogas,2000,12.0,gwh,Australia,renewable
Wind,2000,210.0,gwh,Australia,renewable
Hydro,2000,16933.0,gwh,Australia,renewable
Large-scale solar PV,2000,,gwh,Australia,renewable
Small-scale solar PV,2000,50.0,gwh,Australia,renewable
Geothermal,2000,,gwh,Australia,renewable
,2000,,gwh,Australia,renewable
,2000,,gwh,Australia,renewable
Black coal,2001,116774.7,gwh,Australia,non-renewable
Brown coal,2001,56493.0,gwh,Australia,non-renewable
Natural gas,2001,31730.0,gwh,Australia,non-renewable
Oil products,2001,2446.0,gwh,Australia,non-renewable
Other a,2001,,gwh,Australia,non-renewable
,2001,,gwh,Australia,non-renewable
"Bagasse, wood",2001,669.0,gwh,Australia,renewable
Biogas,2001,281.0,gwh,Australia,renewable
Wind,2001,364.0,gwh,Australia,renewable
Hydro,2001,16054.0,gwh,Australia,renewable
Large-scale solar PV,2001,,gwh,Australia,renewable
Small-scale solar PV,2001,58.3,gwh,Australia,renewable
Geothermal,2001,,gwh,Australia,renewable
,2001,,gwh,Australia,renewable
,2001,,gwh,Australia,renewable
Black coal,2002,115296.6,gwh,Australia,non-renewable
Brown coal,2002,55160.3,gwh,Australia,non-renewable
Natural gas,2002,29375.3,gwh,Australia,non-renewable
Oil products,2002,1661.0,gwh,Australia,non-renewable
Other a,2002,1792.2,gwh,Australia,non-renewable
,2002,,gwh,Australia,non-renewable
"Bagasse, wood",2002,826.6,gwh,Australia,renewable
Biogas,2002,757.0,gwh,Australia,renewable
Wind,2002,703.1,gwh,Australia,renewable
Hydro,2002,16490.0,gwh,Australia,renewable
Large-scale solar PV,2002,,gwh,Australia,renewable
Small-scale solar PV,2002,58.3,gwh,Australia,renewable
Geothermal,2002,,gwh,Australia,renewable
,2002,,gwh,Australia,renewable
,2002,,gwh,Australia,renewable
Black coal,2003,121182.3,gwh,Australia,non-renewable
Brown coal,2003,55572.8,gwh,Australia,non-renewable
Natural gas,2003,30919.4,gwh,Australia,non-renewable
Oil products,2003,1388.7,gwh,Australia,non-renewable
Other a,2003,1817.0,gwh,Australia,non-renewable
,2003,,gwh,Australia,non-renewable
"Bagasse, wood",2003,1058.2,gwh,Australia,renewable
Biogas,2003,741.3,gwh,Australia,renewable
Wind,2003,705.0,gwh,Australia,renewable
Hydro,2003,16331.1,gwh,Australia,renewable
Large-scale solar PV,2003,,gwh,Australia,renewable
Small-scale solar PV,2003,68.1,gwh,Australia,renewable
Geothermal,2003,0.5,gwh,Australia,renewable
,2003,,gwh,Australia,renewable
,2003,,gwh,Australia,renewable
Black coal,2004,127788.5,gwh,Australia,non-renewable
Brown coal,2004,53377.8,gwh,Australia,non-renewable
Natural gas,2004,23802.9,gwh,Australia,non-renewable
Oil products,2004,2841.0,gwh,Australia,non-renewable
Other a,2004,434.0,gwh,Australia,non-renewable
,2004,,gwh,Australia,non-renewable
"Bagasse, wood",2004,3237.0,gwh,Australia,renewable
Biogas,2004,593.0,gwh,Australia,renewable
Wind,2004,885.0,gwh,Australia,renewable
Hydro,2004,15612.2,gwh,Australia,renewable
Large-scale solar PV,2004,,gwh,Australia,renewable
Small-scale solar PV,2004,77.8,gwh,Australia,renewable
Geothermal,2004,0.5,gwh,Australia,renewable
,2004,,gwh,Australia,renewable
,2004,,gwh,Australia,renewable
Black coal,2005,130231.6,gwh,Australia,non-renewable
Brown coal,2005,54552.8,gwh,Australia,non-renewable
Natural gas,2005,22725.9,gwh,Australia,non-renewable
Oil products,2005,3058.0,gwh,Australia,non-renewable
Other a,2005,517.0,gwh,Australia,non-renewable
,2005,,gwh,Australia,non-renewable
"Bagasse, wood",2005,3268.0,gwh,Australia,renewable
Biogas,2005,643.0,gwh,Australia,renewable
Wind,2005,1713.1,gwh,Australia,renewable
Hydro,2005,16029.2,gwh,Australia,renewable
Large-scale solar PV,2005,,gwh,Australia,renewable
Small-scale solar PV,2005,90.3,gwh,Australia,renewable
Geothermal,2005,0.5,gwh,Australia,renewable
,2005,,gwh,Australia,renewable
,2005,,gwh,Australia,renewable
Black coal,2006,132368.5,gwh,Australia,non-renewable
Brown coal,2006,54375.8,gwh,Australia,non-renewable
Natural gas,2006,31849.9,gwh,Australia,non-renewable
Oil products,2006,2893.0,gwh,Australia,non-renewable
Other a,2006,479.0,gwh,Australia,non-renewable
,2006,,gwh,Australia,non-renewable
"Bagasse, wood",2006,3316.0,gwh,Australia,renewable
Biogas,2006,637.0,gwh,Australia,renewable
Wind,2006,2611.1,gwh,Australia,renewable
Hydro,2006,14517.0,gwh,Australia,renewable
Large-scale solar PV,2006,,gwh,Australia,renewable
Small-scale solar PV,2006,104.7,gwh,Australia,renewable
Geothermal,2006,0.5,gwh,Australia,renewable
,2006,,gwh,Australia,renewable
,2006,,gwh,Australia,renewable
Black coal,2007,129569.3,gwh,Australia,non-renewable
Brown coal,2007,54658.7,gwh,Australia,non-renewable
Natural gas,2007,34955.8,gwh,Australia,non-renewable
Oil products,2007,4058.0,gwh,Australia,non-renewable
Other a,2007,106.0,gwh,Australia,non-renewable
,2007,,gwh,Australia,non-renewable
"Bagasse, wood",2007,3737.0,gwh,Australia,renewable
Biogas,2007,859.0,gwh,Australia,renewable
Wind,2007,3093.1,gwh,Australia,renewable
Hydro,2007,12056.9,gwh,Australia,renewable
Large-scale solar PV,2007,,gwh,Australia,renewable
Small-scale solar PV,2007,122.8,gwh,Australia,renewable
Geothermal,2007,0.5,gwh,Australia,renewable
,2007,,gwh,Australia,renewable
,2007,,gwh,Australia,renewable
Black coal,2008,127270.5,gwh,Australia,non-renewable
Brown coal,2008,56981.4,gwh,Australia,non-renewable
Natural gas,2008,37660.4,gwh,Australia,non-renewable
Oil products,2008,3387.9,gwh,Australia,non-renewable
Other a,2008,,gwh,Australia,non-renewable
,2008,,gwh,Australia,non-renewable
"Bagasse, wood",2008,1763.4,gwh,Australia,renewable
Biogas,2008,1031.8,gwh,Australia,renewable
Wind,2008,3823.797015,gwh,Australia,renewable
Hydro,2008,11869.4,gwh,Australia,renewable
Large-scale solar PV,2008,,gwh,Australia,renewable
Small-scale solar PV,2008,155.6,gwh,Australia,renewable
Geothermal,2008,0.5,gwh,Australia,renewable
,2008,,gwh,Australia,renewable
,2008,,gwh,Australia,renewable
Black coal,2009,123724.5,gwh,Australia,non-renewable
Brown coal,2009,56068.3,gwh,Australia,non-renewable
Natural gas,2009,44587.8,gwh,Australia,non-renewable
Oil products,2009,3106.8,gwh,Australia,non-renewable
Other a,2009,,gwh,Australia,non-renewable
,2009,,gwh,Australia,non-renewable
"Bagasse, wood",2009,1761.8,gwh,Australia,renewable
Biogas,2009,1015.6,gwh,Australia,renewable
Wind,2009,5051.708921,gwh,Australia,renewable
Hydro,2009,13548.7,gwh,Australia,renewable
Large-scale solar PV,2009,,gwh,Australia,renewable
Small-scale solar PV,2009,424.8,gwh,Australia,renewable
Geothermal,2009,0.5,gwh,Australia,renewable
,2009,,gwh,Australia,renewable
,2009,,gwh,Australia,renewable
Black coal,2010,116948.8,gwh,Australia,non-renewable
Brown coal,2010,55298.1,gwh,Australia,non-renewable
Natural gas,2010,48996.7,gwh,Australia,non-renewable
Oil products,2010,3093.8,gwh,Australia,non-renewable
Other a,2010,,gwh,Australia,non-renewable
,2010,,gwh,Australia,non-renewable
"Bagasse, wood",2010,1077.0,gwh,Australia,renewable
Biogas,2010,1024.7,gwh,Australia,renewable
Wind,2010,6084.89147133333,gwh,Australia,renewable
Hydro,2010,16806.7,gwh,Australia,renewable
Large-scale solar PV,2010,,gwh,Australia,renewable
Small-scale solar PV,2010,1530.5,gwh,Australia,renewable
Geothermal,2010,0.5,gwh,Australia,renewable
,2010,,gwh,Australia,renewable
,2010,,gwh,Australia,renewable
Black coal,2011,116654.3,gwh,Australia,non-renewable
