fuel,year,consumption,unit
Biomass,2015,196.075,PJ
wood and other b,2015,93.857,PJ
bagasse,2015,102.218,PJ
Municpal and industrial waste,2015,2.543,PJ
Biogas,2015,15.845,PJ
landfill gas,2015,14.699,PJ
other biogas,2015,1.146,PJ
Biofuels,2015,7.168,PJ
ethanol,2015,5.268,PJ
biodiesel,2015,0.236,PJ
other liquid biofuels,2015,1.664,PJ
Wind power,2015,43.918,PJ
Hydro power,2015,55.145,PJ
Solar PV,2015,24.618,PJ
Solar hot water,2015,14.873,PJ
Total,2015,360.186,PJ
Notes:,2015,,PJ
Totals may not add due to rounding,2015,,PJ
a Renewable energy consumption includes inputs to electricity generation as well as direct use of renewable energy.,2015,,PJ
"b Includes wood waste, charcoal, sulphite lyes and other biomass.",2015,,PJ
Biomass,2016,203.374,PJ
wood and other b,2016,93.075,PJ
bagasse,2016,110.298,PJ
Municpal and industrial waste,2016,4.802,PJ
Biogas,2016,15.32,PJ
landfill gas,2016,11.751,PJ
other biogas,2016,3.569,PJ
Biofuels,2016,6.782,PJ
ethanol,2016,5.497,PJ
biodiesel,2016,0.164,PJ
other liquid biofuels,2016,1.122,PJ
Wind power,2016,45.349,PJ
Hydro power,2016,58.626,PJ
Solar PV,2016,29.058,PJ
Solar hot water,2016,15.765,PJ
Total,2016,379.076,PJ
Notes:,2016,,PJ
Totals may not add due to rounding,2016,,PJ
a Renewable energy consumption includes inputs to electricity generation as well as direct use of renewable energy.,2016,,PJ
"b Includes wood waste, charcoal, sulphite lyes and other biomass.",2016,,PJ
Biomass,2017,189.641,PJ
wood and other b,2017,89.413,PJ
bagasse,2017,100.228,PJ
Municpal and industrial waste,2017,4.789,PJ
Biogas,2017,16.104,PJ
landfill gas,2017,12.24,PJ
other biogas,2017,3.864,PJ
Biofuels,2017,7.175,PJ
ethanol,2017,6.045,PJ
biodiesel,2017,0.024,PJ
other liquid biofuels,2017,1.106,PJ
Wind power,2017,54.628,PJ
Hydro power,2017,57.675,PJ
Solar PV,2017,35.748,PJ
Solar hot water,2017,16.694,PJ
Total,2017,382.453,PJ
Notes:,2017,,PJ
Totals may not add due to rounding,2017,,PJ
a Renewable energy consumption includes inputs to electricity generation as well as direct use of renewable energy.,2017,,PJ
"b Includes wood waste, charcoal, sulphite lyes and other biomass.",2017,,PJ
Biomass,2018,179.554,PJ
wood and other b,2018,88.23,PJ
bagasse,2018,91.324,PJ
Municpal and industrial waste,2018,4.613,PJ
Biogas,2018,16.324,PJ
landfill gas,2018,12.282,PJ
other biogas,2018,4.042,PJ
Biofuels,2018,7.399,PJ
ethanol,2018,6.077,PJ
biodiesel,2018,0.044,PJ
other liquid biofuels,2018,1.278,PJ
Wind power,2018,63.763,PJ
Hydro power,2018,57.482,PJ
Solar PV,2018,53.455,PJ
Solar hot water,2018,17.604,PJ
Total,2018,400.194,PJ
Notes:,2018,,PJ
Totals may not add due to rounding,2018,,PJ
a Renewable energy consumption includes inputs to electricity generation as well as direct use of renewable energy.,2018,,PJ
"b Includes wood waste, charcoal, sulphite lyes and other biomass.",2018,,PJ
Biomass,2019,169.333,PJ
wood and other b,2019,85.489,PJ
bagasse,2019,83.844,PJ
Municpal and industrial waste,2019,4.005,PJ
Biogas,2019,16.661,PJ
landfill gas,2019,12.614,PJ
other biogas,2019,4.047,PJ
Biofuels,2019,6.622,PJ
ethanol,2019,5.389,PJ
biodiesel,2019,0.099,PJ
other liquid biofuels,2019,1.134,PJ
Wind power,2019,73.425,PJ
Hydro power,2019,54.539,PJ
