sector,year,consumption,unit
Agriculture,2008,0,PJ
Mining,2008,0.161,PJ
Manufacturing,2008,76.397,PJ
Electricity generation a,2008,90.647,PJ
Construction,2008,0,PJ
Transport,2008,5.651,PJ
Gas supply,2008,0,PJ
Water and waste b,2008,0.292,PJ
Commercial and services c,2008,0.58,PJ
Residential,2008,66.212,PJ
Total,2008,239.94,PJ
Notes:,2008,,PJ
Totals may not add due to rounding,2008,,PJ
"a Includes consumption of non-thermal electricity inputs (hydro, wind and solar power) and combustion of renewable fuels to generate electricity",2008,,PJ
"b Includes the water supply, sewerage and drainage services industries, and the waste industry",2008,,PJ
"c Includes ANZSIC Divisions F, G, H, J, K, L, M, N, O, P, Q, R, S",2008,,PJ
Agriculture,2009,0,PJ
Mining,2009,0.757,PJ
Manufacturing,2009,108.648,PJ
Electricity generation a,2009,99.216,PJ
Construction,2009,0,PJ
Transport,2009,7.388,PJ
Gas supply,2009,0,PJ
Water and waste b,2009,0.254,PJ
Commercial and services c,2009,0.648,PJ
Residential,2009,65.712,PJ
Total,2009,282.624,PJ
Notes:,2009,,PJ
Totals may not add due to rounding,2009,,PJ
"a Includes consumption of non-thermal electricity inputs (hydro, wind and solar power) and combustion of renewable fuels to generate electricity",2009,,PJ
"b Includes the water supply, sewerage and drainage services industries, and the waste industry",2009,,PJ
"c Includes ANZSIC Divisions F, G, H, J, K, L, M, N, O, P, Q, R, S",2009,,PJ
Agriculture,2010,0,PJ
Mining,2010,0.97,PJ
Manufacturing,2010,106.24,PJ
Electricity generation a,2010,113.05,PJ
Construction,2010,0,PJ
Transport,2010,8.735,PJ
Gas supply,2010,0,PJ
Water and waste b,2010,0.829,PJ
Commercial and services c,2010,0.695,PJ
Residential,2010,64.059,PJ
Total,2010,294.578,PJ
Notes:,2010,,PJ
Totals may not add due to rounding,2010,,PJ
"a Includes consumption of non-thermal electricity inputs (hydro, wind and solar power) and combustion of renewable fuels to generate electricity",2010,,PJ
"b Includes the water supply, sewerage and drainage services industries, and the waste industry",2010,,PJ
"c Includes ANZSIC Divisions F, G, H, J, K, L, M, N, O, P, Q, R, S",2010,,PJ
Agriculture,2011,0,PJ
Mining,2011,1.26,PJ
Manufacturing,2011,105.965,PJ
Electricity generation a,2011,111.353,PJ
Construction,2011,0,PJ
Transport,2011,8.543,PJ
Gas supply,2011,0,PJ
Water and waste b,2011,1.227,PJ
Commercial and services c,2011,0.701,PJ
Residential,2011,64.777,PJ
Total,2011,293.825,PJ
Notes:,2011,,PJ
Totals may not add due to rounding,2011,,PJ
"a Includes consumption of non-thermal electricity inputs (hydro, wind and solar power) and combustion of renewable fuels to generate electricity",2011,,PJ
"b Includes the water supply, sewerage and drainage services industries, and the waste industry",2011,,PJ
"c Includes ANZSIC Divisions F, G, H, J, K, L, M, N, O, P, Q, R, S",2011,,PJ
Agriculture,2012,0,PJ
Mining,2012,1.711,PJ
Manufacturing,2012,121.702,PJ
Electricity generation a,2012,132.752,PJ
Construction,2012,0,PJ
Transport,2012,9.239,PJ
Gas supply,2012,0,PJ
Water and waste b,2012,1.533,PJ
Commercial and services c,2012,1.04,PJ
Residential,2012,65.561,PJ
Total,2012,333.539,PJ
Notes:,2012,,PJ
Totals may not add due to rounding,2012,,PJ
"a Includes consumption of non-thermal electricity inputs (hydro, wind and solar power) and combustion of renewable fuels to generate electricity",2012,,PJ
"b Includes the water supply, sewerage and drainage services industries, and the waste industry",2012,,PJ
"c Includes ANZSIC Divisions F, G, H, J, K, L, M, N, O, P, Q, R, S",2012,,PJ
Agriculture,2013,0,PJ
Mining,2013,2.62,PJ
Manufacturing,2013,114.4,PJ
Electricity generation a,2013,151.111,PJ
Construction,2013,0.005,PJ
Transport,2013,8.483,PJ
Gas supply,2013,0,PJ
Water and waste b,2013,1.783,PJ
Commercial and services c,2013,1.213,PJ
Residential,2013,64.629,PJ
Total,2013,344.245,PJ
Notes:,2013,,PJ
Totals may not add due to rounding,2013,,PJ
"a Includes consumption of non-thermal electricity inputs (hydro, wind and solar power) and combustion of renewable fuels to generate electricity",2013,,PJ
"b Includes the water supply, sewerage and drainage services industries, and the waste industry",2013,,PJ
"c Includes ANZSIC Divisions F, G, H, J, K, L, M, N, O, P, Q, R, S",2013,,PJ
Agriculture,2014,0,PJ
Mining,2014,3.16,PJ
Manufacturing,2014,125.2,PJ
Electricity generation a,2014,145.678,PJ
Construction,2014,0.004,PJ
Transport,2014,6.372,PJ
Gas supply,2014,0,PJ
Water and waste b,2014,1.663,PJ
Commercial and services c,2014,1.3,PJ
Residential,2014,64.286,PJ
Total,2014,347.663,PJ
Notes:,2014,,PJ
Totals may not add due to rounding,2014,,PJ
"a Includes consumption of non-thermal electricity inputs (hydro, wind and solar power) and combustion of renewable fuels to generate electricity",2014,,PJ
